,Composer,Title,Measure,Beat,Pattern,Key,CadType,Tone,CVFs,LeadingTones,Sounding,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
380.0,Morley,Morley_1597_058-59,48,3.0,BC1,^BC(1|3)x?z?$,Authentic,E,CB,1.0,2.0,E3,-m3,M6,0.8796296296296297,12.0,10.0,,
368.0,Morley,Morley_1597_058-59,47,1.0,BC1,^BC(1|3)x?z?$,Authentic,E,CB,1.0,2.0,E3,-m3,M6,0.8518518518518519,12.0,12.0,,
356.0,Morley,Morley_1597_058-59,45,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,TC,1.0,2.0,A4,M9,M2,0.8240740740740741,28.0,12.0,,
192.0,Morley,Morley_1597_058-59,25,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,2.0,G4,P8,P8,0.4444444444444444,76.0,32.0,,
312.0,Morley,Morley_1597_058-59,40,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,CT,1.0,2.0,A3,M2,M2,0.7222222222222222,14.0,16.0,,
298.0,Morley,Morley_1597_058-59,38,2.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,CT,1.0,2.0,A3,M2,M2,0.6898148148148148,12.0,14.0,,
328.0,Morley,Morley_1597_058-59,42,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CB,1.0,2.0,G3,P1,P8,0.7592592592592593,16.0,28.0,,
276.0,Morley,Morley_1597_058-59,35,3.0,BC1,^BC(1|3)x?z?$,Authentic,E,CB,1.0,2.0,E3,-m3,M6,0.6388888888888888,12.0,10.0,,
264.0,Morley,Morley_1597_058-59,34,1.0,BC1,^BC(1|3)x?z?$,Authentic,E,CB,1.0,2.0,E3,-m3,M6,0.6111111111111112,12.0,12.0,,
252.0,Morley,Morley_1597_058-59,32,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,TC,1.0,2.0,A4,M9,M2,0.5833333333333334,28.0,12.0,,
32.0,Morley,Morley_1597_058-59,5,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,2.0,D4,P5,P5,0.07407407407407407,32.0,8.0,,
224.0,Morley,Morley_1597_058-59,29,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CB,1.0,2.0,G3,P1,P8,0.5185185185185185,32.0,28.0,,
84.0,Morley,Morley_1597_058-59,11,3.0,T-2c-2,^T-2c-(1|2)x?z?$,Evaded Clausula Vera,,Tc,-1.0,2.0,E4,M6,,0.19444444444444445,44.0,24.0,,
