,Bassus_SecundusTenor,Bassus_PrimusTenor,Bassus_Contratenor,Bassus_Superius,SecundusTenor_PrimusTenor,SecundusTenor_Contratenor,SecundusTenor_Superius,PrimusTenor_Contratenor,PrimusTenor_Superius,Contratenor_Superius
769.0,,,,"9_-5, 12_2, 11_Held, 10_Held, 9",,,,,"7_2, 5_-3, 7_Held, 6_Held, 5","4_Held, 3_-2, 4_Held, 3_Held, 2"
770.0,,"8_2, 5_-2, 6_2, 5_2, 3",,"12_2, 11_Held, 10_Held, 9_Held, 10",,,,,"5_-3, 7_Held, 6_Held, 5_Held, 6","3_-2, 4_Held, 3_Held, 2_Held, 3"
772.0,,"5_-2, 6_2, 5_2, 3_-3, 5",,"11_Held, 10_Held, 9_Held, 10_-2, 11",,,,,"7_Held, 6_Held, 5_Held, 6_-2, 8",
773.0,,,,"10_Held, 9_Held, 10_-2, 11_2, 10",,,,,,
773.5,,,,"9_Held, 10_-2, 11_2, 10_2, 10",,,,,,
774.0,"8_-2, 9_2, 8_2, 7_-3, 8",,,"10_-2, 11_2, 10_2, 10_-3, 12","-4_Held, -5_-2, -4_-2, -3_-3, 1",,"3_Held, 4_-2, 5_-2, 6_-3, 8",,,
775.0,"9_2, 8_2, 7_-3, 8_5, 3","6_2, 5_2, 3_-3, 5_5, 1",,"11_2, 10_2, 10_-3, 12_5, 8",,,,,,
775.5,"8_2, 7_-3, 8_5, 3_Held, 1","5_2, 3_-3, 5_5, 1_-2, 2",,"10_2, 10_-3, 12_5, 8_-2, 9",,,,,,
776.0,"7_-3, 8_5, 3_Held, 1_-2, 2","3_-3, 5_5, 1_-2, 2_-2, 3",,"10_-3, 12_5, 8_-2, 9_-2, 10",,,,,,
778.0,"8_5, 3_Held, 1_-2, 2_-2, 3",,,,,,,,,
780.0,"3_Held, 1_-2, 2_-2, 3_-2, 5",,,,,,,,,
782.0,,,"8_-2, 9_-2, 10_-2, 11_Held, 10",,,"8_2, 7_Held, 6_Held, 5_Held, 3",,,,
786.0,,,,,,,,"3_Held, 2_-2, 1_-2, 3_-3, 5",,
788.0,,,,,,,,"2_-2, 1_-2, 3_-3, 5_Held, 6",,
790.0,,,,,,,,"1_-2, 3_-3, 5_Held, 6_2, 6",,
792.0,,,,,,,,"3_-3, 5_Held, 6_2, 6_Held, 4",,
794.0,,,,,,,,"5_Held, 6_2, 6_Held, 4_Held, 5","12_2, 11_Held, 10_-2, 11_2, 10","8_2, 7_2, 6_-3, 8_2, 6"
795.0,,,,,,,,"6_2, 6_Held, 4_Held, 5_-2, 6",,"7_2, 6_-3, 8_2, 6_-2, 6"
796.0,,,,,,,,"6_Held, 4_Held, 5_-2, 6_2, 5","11_Held, 10_-2, 11_2, 10_2, 8","6_-3, 8_2, 6_-2, 6_Held, 4"
797.0,,,,,,,,"4_Held, 5_-2, 6_2, 5_2, 3",,
798.0,,,,,,,,"5_-2, 6_2, 5_2, 3_2, 2","10_-2, 11_2, 10_2, 8_2, 7",
799.0,,,,,,,,"6_2, 5_2, 3_2, 2_2, 1","11_2, 10_2, 8_2, 7_2, 4",
799.5,,,,,,,,,"10_2, 8_2, 7_2, 4_Held, 5",
800.0,,,,,,,,,"8_2, 7_2, 4_Held, 5_-2, 6",
801.0,,,,,,,,,"7_2, 4_Held, 5_-2, 6_1, 6",
802.0,,"5_Held, 4_-2, 5_-2, 6_Held, 5",,"8_Held, 9_-2, 10_Held, 11_-2, 13",,,,,"4_Held, 5_-2, 6_1, 6_Held, 7",
804.0,,,,"9_-2, 10_Held, 11_-2, 13_Held, 14",,,,,"5_-2, 6_1, 6_Held, 7_Held, 8",
805.0,,"4_-2, 5_-2, 6_Held, 5_-3, 8",,,,,,,"6_1, 6_Held, 7_Held, 8_-2, 10",
806.0,,"5_-2, 6_Held, 5_-3, 8_2, 5","10_-2, 11_-3, 12_2, 10_Held, 8","10_Held, 11_-2, 13_Held, 14_-3, 17",,,,"6_-2, 7_2, 5_-3, 6_4, 1","6_Held, 7_Held, 8_-2, 10_2, 10","1_Held, 2_Held, 3_Held, 4_-2, 6"
807.0,,,,"11_-2, 13_Held, 14_-3, 17_2, 16",,,,,"7_Held, 8_-2, 10_2, 10_-3, 12","2_Held, 3_Held, 4_-2, 6_-2, 7"
808.0,,"6_Held, 5_-3, 8_2, 5_Held, 8",,"13_Held, 14_-3, 17_2, 16_Held, 15",,,,,"8_-2, 10_2, 10_-3, 12_Held, 11","3_Held, 4_-2, 6_-2, 7_Held, 6"
809.0,,,,"14_-3, 17_2, 16_Held, 15_Held, 15",,,,"7_2, 5_-3, 6_4, 1_2, 4","10_2, 10_-3, 12_Held, 11_4, 8","4_-2, 6_-2, 7_Held, 6_-3, 8"
810.0,,,,,"1_Held, -3_-2, 3_-2, 5_-3, 8","5_Held, 4_-2, 3_-2, 8_-3, 10","10_Held, 9_-2, 10_-2, 11_-3, 12","5_-3, 6_4, 1_2, 4_2, 3","10_-3, 12_Held, 11_4, 8_2, 7","6_-2, 7_Held, 6_-3, 8_5, 4"
812.0,,,,,"-3_-2, 3_-2, 5_-3, 8_2, 5","4_-2, 3_-2, 8_-3, 10_2, 8",,"6_4, 1_2, 4_2, 3_-3, 4","12_Held, 11_4, 8_2, 7_2, 5","7_Held, 6_-3, 8_5, 4_Held, 3"
813.0,,,,,,,"9_-2, 10_-2, 11_-3, 12_2, 10",,"11_4, 8_2, 7_2, 5_-3, 6","6_-3, 8_5, 4_Held, 3_-2, 3"
814.0,,,,,"3_-2, 5_-3, 8_2, 5_2, 4","3_-2, 8_-3, 10_2, 8_2, 7","10_-2, 11_-3, 12_2, 10_2, 10","1_2, 4_2, 3_-3, 4_Held, 3","8_2, 7_2, 5_-3, 6_Held, 7","8_5, 4_Held, 3_-2, 3_Held, 4"
816.0,,,,,"5_-3, 8_2, 5_2, 4_2, 3","8_-3, 10_2, 8_2, 7_2, 5","11_-3, 12_2, 10_2, 10_2, 10",,"7_2, 5_-3, 6_Held, 7_Held, 8","4_Held, 3_-2, 3_Held, 4_-2, 6"
818.0,,,,,"8_2, 5_2, 4_2, 3_2, 2","10_2, 8_2, 7_2, 5_2, 4","12_2, 10_2, 10_2, 10_2, 10",,"5_-3, 6_Held, 7_Held, 8_Held, 9","3_-2, 3_Held, 4_-2, 6_Held, 7"
820.0,,,,,,"8_2, 7_2, 5_2, 4_2, 3","10_2, 10_2, 10_2, 10_2, 10",,,"3_Held, 4_-2, 6_Held, 7_Held, 8"
821.0,,,,,,"7_2, 5_2, 4_2, 3_Held, 4","10_2, 10_2, 10_2, 10_2, 8",,,"4_-2, 6_Held, 7_Held, 8_2, 7"
822.0,"-3_Held, -2_Held, 1_-2, 3_-2, 5",,"3_Held, 4_-2, 6_-2, 8_-3, 10","8_Held, 9_Held, 10_-2, 10_-2, 11",,"5_2, 4_2, 3_Held, 4_2, 4","10_2, 10_2, 10_2, 8_2, 7",,,"6_Held, 7_Held, 8_2, 7_2, 5"
823.0,"-2_Held, 1_-2, 3_-2, 5_-3, 8",,,"9_Held, 10_-2, 10_-2, 11_-3, 12",,"4_2, 3_Held, 4_2, 4_2, 4","10_2, 10_2, 8_2, 7_2, 5",,,"7_Held, 8_2, 7_2, 5_2, 4"
824.0,"1_-2, 3_-2, 5_-3, 8_2, 5",,,"10_-2, 10_-2, 11_-3, 12_2, 10",,"3_Held, 4_2, 4_2, 4_2, 3","10_2, 8_2, 7_2, 5_-3, 6",,,"8_2, 7_2, 5_2, 4_Held, 3"
825.0,,,"4_-2, 6_-2, 8_-3, 10_2, 8",,,"4_2, 4_2, 4_2, 3_-3, 4",,,,"7_2, 5_2, 4_Held, 3_-2, 3"
826.0,"3_-2, 5_-3, 8_2, 5_Held, 3",,"6_-2, 8_-3, 10_2, 8_-2, 9","10_-2, 11_-3, 12_2, 10_Held, 12",,"4_2, 4_2, 3_-3, 4_-3, 6","8_2, 7_2, 5_-3, 6_-3, 10",,,"5_2, 4_Held, 3_-2, 3_Held, 5"
828.0,"5_-3, 8_2, 5_Held, 3_-2, 4",,"8_-3, 10_2, 8_-2, 9_-2, 10","11_-3, 12_2, 10_Held, 12_-2, 13",,"4_2, 3_-3, 4_-3, 6_4, 3","7_2, 5_-3, 6_-3, 10_4, 7",,,"4_Held, 3_-2, 3_Held, 5_Held, 4"
830.0,"8_2, 5_Held, 3_-2, 4_-2, 8",,"10_2, 8_-2, 9_-2, 10_-2, 11","12_2, 10_Held, 12_-2, 13_-2, 14",,"3_-3, 4_-3, 6_4, 3_2, 2","5_-3, 6_-3, 10_4, 7_Held, 6",,,"3_-2, 3_Held, 5_Held, 4_Held, 4"
832.0,"5_Held, 3_-2, 4_-2, 8_-2, 9",,"8_-2, 9_-2, 10_-2, 11_-2, 12","10_Held, 12_-2, 13_-2, 14_Held, 13",,"4_-3, 6_4, 3_2, 2_-3, 4","6_-3, 10_4, 7_Held, 6_Held, 6",,,"3_Held, 5_Held, 4_Held, 4_Held, 3"
834.0,"3_-2, 4_-2, 8_-2, 9_-2, 11",,,"12_-2, 13_-2, 14_Held, 13_-2, 14",,,"10_4, 7_Held, 6_Held, 6_2, 5",,,
835.0,"4_-2, 8_-2, 9_-2, 11_5, 5",,"9_-2, 10_-2, 11_-2, 12_5, 8","13_-2, 14_Held, 13_-2, 14_-2, 15",,,,,,
836.0,"8_-2, 9_-2, 11_5, 5_-5, 8",,,"14_Held, 13_-2, 14_-2, 15_5, 11",,,"7_Held, 6_Held, 6_2, 5_-3, 7",,,
837.0,,,,"13_-2, 14_-2, 15_5, 11_Held, 10",,,"6_Held, 6_2, 5_-3, 7_Held, 6",,,
838.0,,"4_-2, 5_5, 1_Held, 3_-5, 6",,"14_-2, 15_5, 11_Held, 10_-5, 15","-6_2, -7_-3, -5_Held, -3_-2, -3",,"6_2, 5_-3, 7_Held, 6_-2, 8",,"11_3, 8_-2, 10_-2, 11_4, 8",
839.0,,"5_5, 1_Held, 3_-5, 6_Held, 5",,,"-7_-3, -5_Held, -3_-2, -3_Held, -4",,,,,
840.0,,"1_Held, 3_-5, 6_Held, 5_Held, 8",,,,,,,,
842.0,,"3_-5, 6_Held, 5_Held, 8_Held, 7",,,,,,,"8_-2, 10_-2, 11_4, 8_-2, 9",
846.0,,,,,,,,"4_4, 1_Held, 3_-2, 4_-3, 5",,
848.0,,,,,,,,"1_Held, 3_-2, 4_-3, 5_4, 1",,
850.0,,,,,"4_Held, 3_3, -3_-2, 3_Held, -3","6_3, 3_-2, 3_Held, 6_-3, 8",,"3_-2, 4_-3, 5_4, 1_-5, 8",,
851.0,,,,,"3_3, -3_-2, 3_Held, -3_-3, 1",,,"4_-3, 5_4, 1_-5, 8_Held, 7",,
852.0,,,,,,"3_-2, 3_Held, 6_-3, 8_Held, 7",,"5_4, 1_-5, 8_Held, 7_Held, 8",,
854.0,,,,,,"3_Held, 6_-3, 8_Held, 7_Held, 8","6_-3, 10_5, 5_-5, 8_2, 7",,,"4_4, 1_Held, 3_-2, 4_2, 3"
856.0,,,,,,"6_-3, 8_Held, 7_Held, 8_5, 3",,,,"1_Held, 3_-2, 4_2, 3_-2, 3"
858.0,,,,,,"8_Held, 7_Held, 8_5, 3_-5, 6","10_5, 5_-5, 8_2, 7_2, 10",,,"3_-2, 4_2, 3_-2, 3_-2, 3"
859.0,,,,,,"7_Held, 8_5, 3_-5, 6_2, 5",,,,"4_2, 3_-2, 3_-2, 3_-2, 8"
859.5,,,,,,"8_5, 3_-5, 6_2, 5_2, 3",,,,"3_-2, 3_-2, 3_-2, 8_Held, 7"
860.0,,,,,,"3_-5, 6_2, 5_2, 3_2, 2","5_-5, 8_2, 7_2, 10_2, 9",,,"3_-2, 3_-2, 8_Held, 7_Held, 6"
862.0,"1_Held, 2_Held, 3_Held, 4_3, 3",,,"8_Held, 12_3, 10_Held, 9_Held, 8",,"6_2, 5_2, 3_2, 2_2, 1","8_2, 7_2, 10_2, 9_2, 8",,,
863.0,"2_Held, 3_Held, 4_3, 3_Held, 4",,,,,"5_2, 3_2, 2_2, 1_2, -2","7_2, 10_2, 9_2, 8_2, 6",,,
864.0,"3_Held, 4_3, 3_Held, 4_-2, 6",,,"12_3, 10_Held, 9_Held, 8_-2, 10",,,"10_2, 9_2, 8_2, 6_Held, 5",,,
865.0,"4_3, 3_Held, 4_-2, 6_-2, 8",,,,,,"9_2, 8_2, 6_Held, 5_2, 5",,,
866.0,"3_Held, 4_-2, 6_-2, 8_5, 4",,,"10_Held, 9_Held, 8_-2, 10_-2, 10",,,"8_2, 6_Held, 5_2, 5_2, 3",,,
867.0,"4_-2, 6_-2, 8_5, 4_Held, 3",,,"9_Held, 8_-2, 10_-2, 10_5, 5",,,"6_Held, 5_2, 5_2, 3_Held, 2",,,
867.5,,,,"8_-2, 10_-2, 10_5, 5_-2, 7",,,"5_2, 5_2, 3_Held, 2_-2, 3",,,
868.0,"6_-2, 8_5, 4_Held, 3_-2, 4",,,"10_-2, 10_5, 5_-2, 7_2, 6",,,"5_2, 3_Held, 2_-2, 3_Held, 4",,,
870.0,"8_5, 4_Held, 3_-2, 4_2, 3","5_5, 1_Held, 3_-2, 4_2, 3",,"10_5, 5_-2, 7_2, 6_-2, 8",,,"3_Held, 2_-2, 3_Held, 4_2, 4",,"6_Held, 5_3, 3_Held, 4_-2, 6",
872.0,"4_Held, 3_-2, 4_2, 3_-2, 5","1_Held, 3_-2, 4_2, 3_-2, 3",,"5_-2, 7_2, 6_-2, 8_-2, 10",,,"2_-2, 3_Held, 4_2, 4_Held, 5",,"5_3, 3_Held, 4_-2, 6_-2, 8",
874.0,"3_-2, 4_2, 3_-2, 5_-2, 6","3_-2, 4_2, 3_-2, 3_-2, 3",,,,,,,"3_Held, 4_-2, 6_-2, 8_4, 3",
875.0,,"4_2, 3_-2, 3_-2, 3_-3, 8",,"7_2, 6_-2, 8_-2, 10_-3, 10",,,,,"4_-2, 6_-2, 8_4, 3_Held, 5",
875.5,,"3_-2, 3_-2, 3_-3, 8_2, 7",,"6_-2, 8_-2, 10_-3, 10_2, 9",,,,,,
876.0,,"3_-2, 3_-3, 8_2, 7_2, 6",,"8_-2, 10_-3, 10_2, 9_2, 10",,,,,"6_-2, 8_4, 3_Held, 5_-2, 6",
878.0,,"3_-3, 8_2, 7_2, 6_2, 4","6_-3, 10_2, 9_2, 8_2, 7","10_-3, 10_2, 9_2, 10_2, 9",,,,"4_4, 3_-2, 4_2, 3_-2, 3","8_4, 3_Held, 5_-2, 6_2, 5","5_3, 1_Held, 3_-2, 4_Held, 3"
880.0,,"8_2, 7_2, 6_2, 4_Held, 5","10_2, 9_2, 8_2, 7_2, 5","10_2, 9_2, 10_2, 9_2, 8",,,,"3_-2, 4_2, 3_-2, 3_-2, -2","3_Held, 5_-2, 6_2, 5_-2, 6","1_Held, 3_-2, 4_Held, 3_-5, 5"
881.0,,"7_2, 6_2, 4_Held, 5_2, 3","9_2, 8_2, 7_2, 5_Held, 1","9_2, 10_2, 9_2, 8_Held, 7",,,,,,
882.0,"3_2, 2_2, 1_Held, 3_-2, 4","6_2, 4_Held, 5_2, 3_Held, 2","8_2, 7_2, 5_Held, 1_-2, 2","10_2, 9_2, 8_Held, 7_Held, 5","4_Held, 3_Held, 4_Held, 3_3, -2","6_Held, 5_3, -3_-2, 4_-2, 4","8_Held, 7_3, 3_Held, 4_-2, 6",,"5_-2, 6_2, 5_-2, 6_Held, 5","3_-2, 4_Held, 3_-5, 5_Held, 6"
883.0,"2_2, 1_Held, 3_-2, 4_-3, 5","4_Held, 5_2, 3_Held, 2_-2, 2","7_2, 5_Held, 1_-2, 2_-3, 8","9_2, 8_Held, 7_Held, 5_-2, 7","3_Held, 4_Held, 3_3, -2_Held, -3",,,"4_2, 3_-2, 3_-2, -2_-2, 1","6_2, 5_-2, 6_Held, 5_-2, 4",
883.5,,"5_2, 3_Held, 2_-2, 2_-3, 3",,,"4_Held, 3_3, -2_Held, -3_-2, -3",,,"3_-2, 3_-2, -2_-2, 1_-2, 6","5_-2, 6_Held, 5_-2, 4_-2, 6",
884.0,"1_Held, 3_-2, 4_-3, 5_2, 3","3_Held, 2_-2, 2_-3, 3_2, -3","5_Held, 1_-2, 2_-3, 8_2, 6","8_Held, 7_Held, 5_-2, 7_-3, 10","3_3, -2_Held, -3_-2, -3_-2, -5","5_3, -3_-2, 4_-2, 4_4, 1",,"3_-2, -2_-2, 1_-2, 6_-4, 8","6_Held, 5_-2, 4_-2, 6_-2, 8","4_Held, 3_-5, 5_Held, 6_5, 3"
885.0,,,,"7_Held, 5_-2, 7_-3, 10_2, 10",,,"7_3, 3_Held, 4_-2, 6_-2, 8",,"5_-2, 4_-2, 6_-2, 8_-4, 12","3_-5, 5_Held, 6_5, 3_-2, 5"
886.0,"3_-2, 4_-3, 5_2, 3_-3, 8","2_-2, 2_-3, 3_2, -3_-3, 3","1_-2, 2_-3, 8_2, 6_-3, 8",,"-2_Held, -3_-2, -3_-2, -5_4, -6","-3_-2, 4_-2, 4_4, 1_Held, -2",,"-2_-2, 1_-2, 6_-4, 8_3, 6",,
887.0,"4_-3, 5_2, 3_-3, 8_Held, 1","2_-3, 3_2, -3_-3, 3_-2, 4","2_-3, 8_2, 6_-3, 8_Held, 7",,"-3_-2, -3_-2, -5_4, -6_-8, 3",,,"1_-2, 6_-4, 8_3, 6_Held, 5",,
888.0,"5_2, 3_-3, 8_Held, 1_-2, 2","3_2, -3_-3, 3_-2, 4_-3, 5","8_2, 6_-3, 8_Held, 7_Held, 5",,"-3_-2, -5_4, -6_-8, 3_5, -4","4_-2, 4_4, 1_Held, -2_-8, 5",,"6_-4, 8_3, 6_Held, 5_Held, 3",,
890.0,"3_-3, 8_Held, 1_-2, 2_-3, 8","-3_-3, 3_-2, 4_-3, 5_Held, 3","6_-3, 8_Held, 7_Held, 5_-2, 7",,"-5_4, -6_-8, 3_5, -4_Held, -6","4_4, 1_Held, -2_-8, 5_Held, 6",,"8_3, 6_Held, 5_Held, 3_Held, 4",,
892.0,"8_Held, 1_-2, 2_-3, 8_-2, 10","3_-2, 4_-3, 5_Held, 3_-2, 8","8_Held, 7_Held, 5_-2, 7_-3, 10",,"-6_-8, 3_5, -4_Held, -6_2, -3","1_Held, -2_-8, 5_Held, 6_5, 3",,"6_Held, 5_Held, 3_Held, 4_-2, 6",,
893.0,,,"7_Held, 5_-2, 7_-3, 10_Held, 11",,,"-2_-8, 5_Held, 6_5, 3_Held, 4",,"5_Held, 3_Held, 4_-2, 6_Held, 7",,
894.0,"1_-2, 2_-3, 8_-2, 10_Held, 8",,"5_-2, 7_-3, 10_Held, 11_Held, 12","12_-2, 13_-3, 15_Held, 17_-2, 17","3_5, -4_Held, -6_2, -3_Held, -4","5_Held, 6_5, 3_Held, 4_Held, 5","12_5, 8_Held, 10_2, 8_Held, 6","3_Held, 4_-2, 6_Held, 7_-3, 10","10_-2, 11_-3, 15_5, 10_Held, 8","8_2, 7_2, 6_2, 5_2, 6"
895.0,"2_-3, 8_-2, 10_Held, 8_Held, 12","4_-3, 5_Held, 3_-2, 8_Held, 7","7_-3, 10_Held, 11_Held, 12_Held, 10","13_-3, 15_Held, 17_-2, 17_Held, 15",,"6_5, 3_Held, 4_Held, 5_Held, 3",,"4_-2, 6_Held, 7_-3, 10_Held, 8",,"7_2, 6_2, 5_2, 6_-3, 8"
896.0,"8_-2, 10_Held, 8_Held, 12_Held, 11","5_Held, 3_-2, 8_Held, 7_Held, 6","10_Held, 11_Held, 12_Held, 10_-2, 12","15_Held, 17_-2, 17_Held, 15_Held, 19","-4_Held, -6_2, -3_Held, -4_Held, -5","3_Held, 4_Held, 5_Held, 3_2, 3","8_Held, 10_2, 8_Held, 6_-3, 12","6_Held, 7_-3, 10_Held, 8_5, 5","11_-3, 15_5, 10_Held, 8_-2, 9","6_2, 5_2, 6_-3, 8_2, 6"
897.0,,,"11_Held, 12_Held, 10_-2, 12_Held, 11",,,"4_Held, 5_Held, 3_2, 3_Held, 2",,"7_-3, 10_Held, 8_5, 5_-2, 5",,"5_2, 6_-3, 8_2, 6_Held, 4"
898.0,,"3_-2, 8_Held, 7_Held, 6_Held, 5","12_Held, 10_-2, 12_Held, 11_Held, 10","17_-2, 17_Held, 15_Held, 19_Held, 18","-6_2, -3_Held, -4_Held, -5_-3, -4","5_Held, 3_2, 3_Held, 2_-3, 3","10_2, 8_Held, 6_-3, 12_5, 8","10_Held, 8_5, 5_-2, 5_-2, 6","15_5, 10_Held, 8_-2, 9_-2, 10","6_-3, 8_2, 6_Held, 4_-2, 5"
899.0,,,"10_-2, 12_Held, 11_Held, 10_Held, 8",,,"3_2, 3_Held, 2_-3, 3_5, -5",,"8_5, 5_-2, 5_-2, 6_-2, 6",,"8_2, 6_Held, 4_-2, 5_-2, 10"
900.0,"10_Held, 8_Held, 12_Held, 11_Held, 10",,"12_Held, 11_Held, 10_Held, 8_Held, 12","17_Held, 15_Held, 19_Held, 18_Held, 17","-3_Held, -4_Held, -5_-3, -4_5, -8","3_Held, 2_-3, 3_5, -5_Held, 1","8_Held, 6_-3, 12_5, 8_Held, 7","5_-2, 5_-2, 6_-2, 6_Held, 4","10_Held, 8_-2, 9_-2, 10_-2, 15","6_Held, 4_-2, 5_-2, 10_-3, 12"
902.0,,,,"15_Held, 19_Held, 18_Held, 17_Held, 16",,,"6_-3, 12_5, 8_Held, 7_Held, 6",,"8_-2, 9_-2, 10_-2, 15_Held, 14","4_-2, 5_-2, 10_-3, 12_Held, 11"
903.0,,,"11_Held, 10_Held, 8_Held, 12_Held, 11",,,"2_-3, 3_5, -5_Held, 1_-2, 2",,,,"5_-2, 10_-3, 12_Held, 11_5, 6"
904.0,"8_Held, 12_Held, 11_Held, 10_Held, 9",,,"19_Held, 18_Held, 17_Held, 16_Held, 15",,"3_5, -5_Held, 1_-2, 2_-2, 3","12_5, 8_Held, 7_Held, 6_-2, 6",,,"10_-3, 12_Held, 11_5, 6_Held, 5"
906.0,,,,,,"-5_Held, 1_-2, 2_-2, 3_-2, 3","8_Held, 7_Held, 6_-2, 6_-2, 6",,,"12_Held, 11_5, 6_Held, 5_Held, 4"
907.0,,,,"18_Held, 17_Held, 16_Held, 15_Held, 14",,,"7_Held, 6_-2, 6_-2, 6_-2, 6",,,"11_5, 6_Held, 5_Held, 4_-2, 4"
908.0,,,,,,"1_-2, 2_-2, 3_-2, 3_-2, 3","6_-2, 6_-2, 6_-2, 6_-2, 6",,,"6_Held, 5_Held, 4_-2, 4_-2, 4"
909.0,,,,,,"2_-2, 3_-2, 3_-2, 3_2, 3","6_-2, 6_-2, 6_-2, 6_Held, 5",,,"5_Held, 4_-2, 4_-2, 4_Held, 3"
910.0,,,,,"-3_-2, -2_-2, 1_2, -3_-3, -3","3_-2, 3_-2, 3_2, 3_-3, 6","6_-2, 6_-2, 6_Held, 5_2, 6","5_Held, 4_1, 3_-2, 5_-3, 8","8_Held, 7_1, 6_Held, 5_-2, 8","4_-2, 4_-2, 4_Held, 3_2, 4"
911.0,,,,,"-2_-2, 1_2, -3_-3, -3_Held, 1",,"6_-2, 6_Held, 5_2, 6_-3, 8","4_1, 3_-2, 5_-3, 8_3, 6","7_1, 6_Held, 5_-2, 8_-3, 10","4_-2, 4_Held, 3_2, 4_2, 3"
912.0,,,,,"1_2, -3_-3, -3_Held, 1_-2, 3",,"6_Held, 5_2, 6_-3, 8_Held, 7",,"6_Held, 5_-2, 8_-3, 10_3, 7","4_Held, 3_2, 4_2, 3_Held, 2"
913.0,,,,,,,"5_2, 6_-3, 8_Held, 7_Held, 6",,"5_-2, 8_-3, 10_3, 7_Held, 6","3_2, 4_2, 3_Held, 2_Held, 1"
914.0,,,,,,,"6_-3, 8_Held, 7_Held, 6_-2, 8",,"8_-3, 10_3, 7_Held, 6_2, 6",
916.0,,,,,,,,,"10_3, 7_Held, 6_2, 6_2, 5",
918.0,,"3_1, 4_-2, 5_-3, 8_3, 5",,"9_Held, 8_1, 9_-2, 10_-3, 12",,,,,"7_Held, 6_2, 6_2, 5_-2, 6",
919.0,,,,"8_1, 9_-2, 10_-3, 12_3, 10",,,,,,
920.0,,"4_-2, 5_-3, 8_3, 5_Held, 3",,,,,,,,
922.0,,"5_-3, 8_3, 5_Held, 3_2, 5",,,,,,,,
924.0,,"8_3, 5_Held, 3_2, 5_-3, 7",,,,,,,,
926.0,"5_Held, 5_2, 3_-3, 3_Held, 3","5_Held, 3_2, 5_-3, 7_Held, 6",,,"1_1, -3_-2, 3_-3, 5_1, 4",,,,,
928.0,"5_2, 3_-3, 3_Held, 3_-2, 6","3_2, 5_-3, 7_Held, 6_-2, 8",,,"-3_-2, 3_-3, 5_1, 4_3, 3",,,,,
930.0,"3_-3, 3_Held, 3_-2, 6_Held, 7",,"8_-3, 10_Held, 10_-2, 10_Held, 8",,"3_-3, 5_1, 4_3, 3_2, 2","6_-3, 8_1, 8_3, 5_Held, 3",,,,
932.0,,,,,,"8_1, 8_3, 5_Held, 3_2, 2",,,,
934.0,,,,,,"8_3, 5_Held, 3_2, 2_-2, 5",,,,
936.0,,,,,,"5_Held, 3_2, 2_-2, 5_-2, 7",,,,
938.0,,,,,,"3_2, 2_-2, 5_-2, 7_-2, 8","10_2, 9_-2, 10_-2, 11_-2, 12",,,"8_3, 6_2, 5_-3, 6_4, 1"
939.0,,,,,,"2_-2, 5_-2, 7_-2, 8_2, 5","9_-2, 10_-2, 11_-2, 12_2, 10",,,
940.0,,,,,,"5_-2, 7_-2, 8_2, 5_1, 8","10_-2, 11_-2, 12_2, 10_1, 8",,,"6_2, 5_-3, 6_4, 1_Held, 3"
942.0,,,,,"7_-2, 8_2, 7_1, 6_Held, 5","7_-2, 8_2, 5_1, 8_Held, 7","11_-2, 12_2, 10_1, 8_Held, 10","1_1, -3_-2, 3_-2, 4_Held, 3","5_1, 4_-2, 3_-2, 6_-2, 8","5_-3, 6_4, 1_Held, 3_-2, 4"
943.0,,,,,"8_2, 7_1, 6_Held, 5_2, 3","8_2, 5_1, 8_Held, 7_2, 5","12_2, 10_1, 8_Held, 10_2, 10",,,
944.0,,,,,"7_1, 6_Held, 5_2, 3_Held, 5","5_1, 8_Held, 7_2, 5_Held, 4","10_1, 8_Held, 10_2, 10_Held, 8","-3_-2, 3_-2, 4_Held, 3_-2, 3","4_-2, 3_-2, 6_-2, 8_3, 4","6_4, 1_Held, 3_-2, 4_-2, 6"
946.0,,,,,"6_Held, 5_2, 3_Held, 5_-3, 8","8_Held, 7_2, 5_Held, 4_Held, 3","8_Held, 10_2, 10_Held, 8_-3, 10","3_-2, 4_Held, 3_-2, 3_Held, 2","3_-2, 6_-2, 8_3, 4_2, 3","1_Held, 3_-2, 4_-2, 6_-2, 7"
948.0,,,,,"5_2, 3_Held, 5_-3, 8_5, 3",,"10_2, 10_Held, 8_-3, 10_5, 5","4_Held, 3_-2, 3_Held, 2_3, -3","6_-2, 8_3, 4_2, 3_-2, 3","3_-2, 4_-2, 6_-2, 7_-2, 6"
949.0,,,,,,"7_2, 5_Held, 4_Held, 3_Held, 2",,"3_-2, 3_Held, 2_3, -3_Held, -4",,"4_-2, 6_-2, 7_-2, 6_-2, 7"
950.0,,,,,"3_Held, 5_-3, 8_5, 3_2, 1","5_Held, 4_Held, 3_Held, 2_-3, 5","10_Held, 8_-3, 10_5, 5_Held, 10","3_Held, 2_3, -3_Held, -4_2, -4","8_3, 4_2, 3_-2, 3_Held, 8","6_-2, 7_-2, 6_-2, 7_2, 6"
951.0,,,,,,"4_Held, 3_Held, 2_-3, 5_Held, 6",,"2_3, -3_Held, -4_2, -4_Held, -3",,"7_-2, 6_-2, 7_2, 6_2, 5"
