Measure	Beat	Offset	4_3	4_2	4_1	3_2	3_1	2_1	Composer	Title	figures	figures_combined
32	1.0	252.0	5	8	4	4	7	4	Pierre Sandrin	Doulce memoire	584	['584', '583', '158', '030', '033', '538', '532', '533', '534', '835', '247', '358']
32	2.0	254.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '158', '030', '033', '538', '532', '533', '534', '835', '247', '358', '584']
32	3.0	256.0	1	5	8	5	8	4	Pierre Sandrin	Doulce memoire	158	['158', '030', '033', '538', '532', '533', '534', '835', '247', '358', '584', '583']
33	1.0	260.0	0	0	0	3	0	0	Pierre Sandrin	Doulce memoire	030	['030', '033', '538', '532', '533', '534', '835', '247', '358', '584', '583', '838']
33	2.0	262.0	0	0	0	3	3	5	Pierre Sandrin	Doulce memoire	033	['033', '538', '532', '533', '534', '835', '247', '358', '584', '583', '838', '538']
33	3.0	264.0	5	3	8	3	4	6	Pierre Sandrin	Doulce memoire	538	['538', '532', '533', '534', '835', '247', '358', '584', '583', '838', '538', '530']
33	3.5	265.0	5	3	2	3	5	7	Pierre Sandrin	Doulce memoire	532	['532', '533', '534', '835', '247', '358', '584', '583', '838', '538', '530', '538']
33	4.0	266.0	5	3	3	3	6	8	Pierre Sandrin	Doulce memoire	533	['533', '534', '835', '247', '358', '584', '583', '838', '538', '530', '538', '053']
33	4.5	267.0	5	3	4	3	7	2	Pierre Sandrin	Doulce memoire	534	['534', '835', '247', '358', '584', '583', '838', '538', '530', '538', '053', '853']
34	1.0	268.0	8	3	5	3	5	3	Pierre Sandrin	Doulce memoire	835	['835', '247', '358', '584', '583', '838', '538', '530', '538', '053', '853', '844']
34	2.0	270.0	2	4	7	3	6	4	Pierre Sandrin	Doulce memoire	247	['247', '358', '584', '583', '838', '538', '530', '538', '053', '853', '844', '835']
34	2.5	271.0	3	5	8	3	6	4	Pierre Sandrin	Doulce memoire	358	['358', '584', '583', '838', '538', '530', '538', '053', '853', '844', '835', '825']
34	3.0	272.0	5	8	4	4	7	4	Pierre Sandrin	Doulce memoire	584	['584', '583', '838', '538', '530', '538', '053', '853', '844', '835', '825', '385']
34	4.0	274.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '838', '538', '530', '538', '053', '853', '844', '835', '825', '385', '375']
35	1.0	276.0	8	3	8	3	8	6	Pierre Sandrin	Doulce memoire	838	['838', '538', '530', '538', '053', '853', '844', '835', '825', '385', '375', '853']
35	2.0	278.0	5	3	8	6	4	6	Pierre Sandrin	Doulce memoire	538	['538', '530', '538', '053', '853', '844', '835', '825', '385', '375', '853', '852']
35	3.0	280.0	5	3	0	6	0	0	Pierre Sandrin	Doulce memoire	530	['530', '538', '053', '853', '844', '835', '825', '385', '375', '853', '852', '835']
35	4.0	282.0	5	3	8	6	4	3	Pierre Sandrin	Doulce memoire	538	['538', '053', '853', '844', '835', '825', '385', '375', '853', '852', '835', '735']
36	1.0	284.0	0	0	0	5	3	3	Pierre Sandrin	Doulce memoire	053	['053', '853', '844', '835', '825', '385', '375', '853', '852', '835', '735', '584']
36	2.0	286.0	8	5	3	5	3	3	Pierre Sandrin	Doulce memoire	853	['853', '844', '835', '825', '385', '375', '853', '852', '835', '735', '584', '583']
36	2.5	287.0	8	4	4	4	4	1	Pierre Sandrin	Doulce memoire	844	['844', '835', '825', '385', '375', '853', '852', '835', '735', '584', '583', '838']
36	3.0	288.0	8	3	5	3	5	3	Pierre Sandrin	Doulce memoire	835	['835', '825', '385', '375', '853', '852', '835', '735', '584', '583', '838', '833']
36	3.5	289.0	8	2	5	2	5	4	Pierre Sandrin	Doulce memoire	825	['825', '385', '375', '853', '852', '835', '735', '584', '583', '838', '833', '823']
36	4.0	290.0	3	8	5	3	3	5	Pierre Sandrin	Doulce memoire	385	['385', '375', '853', '852', '835', '735', '584', '583', '838', '833', '823', '038']
36	4.5	291.0	3	7	5	4	3	6	Pierre Sandrin	Doulce memoire	375	['375', '853', '852', '835', '735', '584', '583', '838', '833', '823', '038', '047']
37	1.0	292.0	8	5	3	4	3	6	Pierre Sandrin	Doulce memoire	853	['853', '852', '835', '735', '584', '583', '838', '833', '823', '038', '047', '583']
37	1.5	293.0	8	5	2	4	2	5	Pierre Sandrin	Doulce memoire	852	['852', '835', '735', '584', '583', '838', '833', '823', '038', '047', '583', '472']
37	2.0	294.0	8	3	5	3	5	3	Pierre Sandrin	Doulce memoire	835	['835', '735', '584', '583', '838', '833', '823', '038', '047', '583', '472', '388']
37	2.5	295.0	7	3	5	4	6	3	Pierre Sandrin	Doulce memoire	735	['735', '584', '583', '838', '833', '823', '038', '047', '583', '472', '388', '287']
37	3.0	296.0	5	8	4	4	7	4	Pierre Sandrin	Doulce memoire	584	['584', '583', '838', '833', '823', '038', '047', '583', '472', '388', '287', '386']
37	4.0	298.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '838', '833', '823', '038', '047', '583', '472', '388', '287', '386', '385']
38	1.0	300.0	8	3	8	3	8	6	Pierre Sandrin	Doulce memoire	838	['838', '833', '823', '038', '047', '583', '472', '388', '287', '386', '385', '853']
38	2.0	302.0	8	3	3	3	3	8	Pierre Sandrin	Doulce memoire	833	['833', '823', '038', '047', '583', '472', '388', '287', '386', '385', '853', '852']
38	2.5	303.0	8	2	3	2	3	2	Pierre Sandrin	Doulce memoire	823	['823', '038', '047', '583', '472', '388', '287', '386', '385', '853', '852', '835']
38	3.0	304.0	0	0	0	3	8	3	Pierre Sandrin	Doulce memoire	038	['038', '047', '583', '472', '388', '287', '386', '385', '853', '852', '835', '735']
38	3.5	305.0	0	0	0	4	7	3	Pierre Sandrin	Doulce memoire	047	['047', '583', '472', '388', '287', '386', '385', '853', '852', '835', '735', '584']
38	4.0	306.0	5	8	3	5	6	3	Pierre Sandrin	Doulce memoire	583	['583', '472', '388', '287', '386', '385', '853', '852', '835', '735', '584', '583']
38	4.5	307.0	4	7	2	5	6	3	Pierre Sandrin	Doulce memoire	472	['472', '388', '287', '386', '385', '853', '852', '835', '735', '584', '583', '158']
