,piece_title,pattern_matched,predicted_type,voice_list,measure_beat_list,time_intervals,entry_intervals,start_offset
94,Quo abiit dilectus tuus,"(3, 3, -2, -2)",ID,"['Superior', 'Bassus', 'Superior', 'Superior']","['134/2.0', '135/4.0', '137/4.0', '139/2.0']",[12. 16. 12.],"['m-10', 'P8', 'm3']",1074.0
95,Quo abiit dilectus tuus,"(-2, -2, -3, 2)",Fuga,"['Bassus', 'Superior']","['136/2.0', '140/1.0']",[30.],['M9'],1090.0
96,Quo abiit dilectus tuus,"(2, 2, -2, -2)",Fuga,"['Tenor', 'Bassus', 'Superior']","['136/4.0', '142/3.0', '143/3.0']",[46.  8.],"['M-6', 'M9']",1094.0
97,Quo abiit dilectus tuus,"(2, -2, -2, -2)",Fuga,"['Tenor', 'Bassus', 'Contratenor', 'Bassus']","['137/1.0', '142/4.0', '150/3.0', '152/4.0']",[46. 62. 18.],"['m-6', 'P8', 'M-10']",1096.0
98,Quo abiit dilectus tuus,"(-2, -2, -2, 2)",Fuga,"['Tenor', 'Bassus', 'Tenor', 'Bassus', 'Tenor', 'Tenor']","['137/2.0', '143/1.0', '147/3.0', '151/3.0', '152/4.0', '155/4.0']",[46. 36. 32. 10. 24.],"['M-6', 'M3', 'M-3', 'P5', 'P-4']",1098.0
99,Quo abiit dilectus tuus,"(3, -2, -2, -2)",Fuga,"['Bassus', 'Superior', 'Tenor']","['137/3.0', '139/3.0', '142/3.0']",[16. 24.],"['P11', 'P-8']",1100.0
100,Quo abiit dilectus tuus,"(-2, 2, 2, 2)",Fuga,"['Tenor', 'Contratenor', 'Tenor', 'Bassus', 'Superior', 'Contratenor']","['137/4.0', '139/2.0', '140/4.0', '141/4.0', '142/4.0', '146/2.0']",[12. 12.  8.  8. 28.],"['m3', 'P-4', 'P-5', 'M9', 'M-7']",1102.0
101,Quo abiit dilectus tuus,"(2, 2, 2, -3)",Fuga,"['Tenor', 'Tenor']","['138/2.0', '141/2.0']",[24.],['M-2'],1106.0
102,Quo abiit dilectus tuus,"(2, 2, 2, -2)",Fuga,"['Bassus', 'Superior', 'Superior']","['142/2.0', '143/2.0', '149/4.0']",[ 8. 52.],"['M9', 'P5']",1138.0
103,Quo abiit dilectus tuus,"(-2, -2, -2, -2)",Fuga,"['Tenor', 'Tenor', 'Tenor', 'Bassus', 'Contratenor', 'Contratenor', 'Superior', 'Superior', 'Superior', 'Tenor', 'Tenor', 'Contratenor', 'Bassus', 'Bassus', 'Bassus', 'Superior', 'Superior', 'Superior', 'Bassus', 'Bassus']","['142/4.0', '143/2.0', '147/1.0', '147/2.0', '150/4.0', '151/1.5', '154/3.0', '154/4.5', '155/1.0', '155/2.5', '155/3.0', '157/1.0', '157/3.0', '157/4.5', '158/1.0', '159/1.0', '159/2.0', '159/3.0', '161/1.0', '161/2.5']","[ 4. 30.  2. 28.  3. 27.  3.  1.  3.  1. 12.  4.  3.  1.  8.  2.  2. 12.
  3.]","['m-2', 'm2', 'P-5', 'P8', 'm-2', 'm6', 'm-2', 'M-2', 'm-7', 'M-2', 'm2', 'P-4', 'm-2', 'M-2', 'm14', 'm-2', 'M-2', 'M-10', 'm-2']",1142.0
104,Quo abiit dilectus tuus,"(5, -5, 4, -2)",Fuga,"['Contratenor', 'Tenor', 'Superior', 'Bassus']","['143/4.0', '144/4.0', '147/4.0', '150/2.0']",[ 8. 24. 20.],"['P-5', 'P8', 'P-8']",1150.0
105,Quo abiit dilectus tuus,"(-5, 4, -2, 3)",Fuga,"['Tenor', 'Superior']","['145/1.0', '148/1.0']",[24.],['P8'],1160.0
106,Quo abiit dilectus tuus,"(4, -2, 3, -2)",Fuga,"['Tenor', 'Superior']","['145/3.0', '148/3.0']",[24.],['P8'],1164.0
107,Quo abiit dilectus tuus,"(-2, 2, -2, -2)",Fuga,"['Contratenor', 'Bassus']","['150/2.0', '152/2.0']",[16.],['m-10'],1202.0
108,Quo abiit dilectus tuus,"(3, -2, -2, -2)",Fuga,"['Tenor', 'Superior', 'Tenor', 'Contratenor', 'Bassus', 'Superior', 'Bassus']","['152/3.0', '154/2.0', '154/4.0', '156/4.0', '157/2.0', '158/4.0', '160/4.0']",[14.  4. 16.  4. 12. 16.],"['P8', 'P-8', 'M-2', 'P-4', 'P12', 'P-12']",1220.0
109,Quo abiit dilectus tuus,"(-2, -2, -2, 1)",Fuga,"['Superior', 'Superior']","['155/2.0', '159/4.0']",[36.],['P1'],1242.0
110,Quo abiit dilectus tuus,"(-2, -2, 1, -2)",Fuga,"['Superior', 'Superior']","['155/3.0', '160/1.0']",[36.],['P1'],1244.0
111,Quo abiit dilectus tuus,"(2, 2, 2, 2)",Fuga,"['Tenor', 'Tenor', 'Contratenor']","['159/3.0', '159/4.0', '160/4.0']",[2. 8.],"['M2', 'M-2']",1276.0
112,Quo abiit dilectus tuus,"(-2, -2, -2, 2)",Fuga,"['Superior', 'Tenor']","['161/2.0', '164/3.0']",[26.],['d-5'],1290.0
